,county,state,population,dc,obs_dr
0,Autauga,AL,34222,3.0,0.8766290690199287
1,Baldwin,AL,98280,22.0,2.238502238502239
2,Barbour,AL,25417,1.0,0.39343746311523786
3,Bibb,AL,16576,1.0,0.6032818532818532
4,Blount,AL,39248,8.0,2.0383204239706485
5,Bullock,AL,11042,0.0,0.0
6,Butler,AL,21892,1.0,0.4567878677142335
7,Calhoun,AL,116034,21.0,1.8098143647551581
8,Chambers,AL,36876,7.0,1.8982536066818525
9,Cherokee,AL,19543,0.0,0.0
10,Chilton,AL,32458,5.0,1.5404522767884652
11,Choctaw,AL,16018,4.0,2.49719066050693
12,Clarke,AL,27240,4.0,1.4684287812041117
13,Clay,AL,13252,6.0,4.527618472683368
14,Cleburne,AL,12730,3.0,2.356637863315004
15,Coffee,AL,40240,7.0,1.739562624254473
16,Colbert,AL,51666,9.0,1.7419579607478808
17,Conecuh,AL,14054,4.0,2.8461647929415115
18,Coosa,AL,11063,3.0,2.711741842176625
19,Covington,AL,36478,7.0,1.9189648555293601
20,Crenshaw,AL,13635,1.0,0.7334066740007334
21,Cullman,AL,67613,17.0,2.5143093783739814
22,Dale,AL,49633,3.0,0.604436564382568
23,Dallas,AL,48130,5.0,1.0388531061707875
24,Dekalb,AL,54651,0.0,0.0
25,Elmore,AL,49210,4.0,0.8128429181060761
26,Escambia,AL,35518,10.0,2.815473844247987
27,Etowah,AL,99840,17.0,1.7027243589743588
28,Fayette,AL,17962,4.0,2.2269235051775973
29,Franklin,AL,27814,8.0,2.8762493708204504
30,Geneva,AL,23647,7.0,2.9602063686725586
31,Greene,AL,10153,0.0,0.0
32,Hale,AL,15498,0.0,0.0
33,Henry,AL,15374,1.0,0.6504488096786784
34,Houston,AL,81331,10.0,1.2295434705094
35,Jackson,AL,47796,13.0,2.71989287806511
36,Jefferson,AL,651525,111.0,1.7036951767008173
37,Lamar,AL,15715,6.0,3.8180082723512565
38,Lauderdale,AL,79661,13.0,1.6319152408330302
39,Lawrence,AL,31513,6.0,1.9039761368324184
40,Lee,AL,87146,13.0,1.4917494778876828
41,Limestone,AL,54135,10.0,1.8472337674332688
42,Lowndes,AL,12658,0.0,0.0
43,Macon,AL,24928,2.0,0.8023106546854942
44,Madison,AL,238912,34.0,1.4231181355478169
45,Marengo,AL,23084,5.0,2.1660024259227173
46,Marion,AL,29830,8.0,2.681863895407308
47,Marshall,AL,70832,11.0,1.552970408854755
48,Mobile,AL,378643,52.0,1.373325269449059
49,Monroe,AL,23968,1.0,0.4172229639519359
50,Montgomery,AL,209085,25.0,1.1956859650381424
51,Morgan,AL,100043,16.0,1.5993122957128434
52,Perry,AL,12759,1.0,0.7837604827964574
53,Pickens,AL,20699,7.0,3.3818058843422385
54,Pike,AL,27595,1.0,0.36238448994383043
55,Randolph,AL,19881,2.0,1.0059856144057142
56,Russell,AL,46860,13.0,2.774221084080239
57,Shelby,AL,99358,8.0,0.8051691861752452
58,St. clair,AL,50009,0.0,0.0
59,Sumter,AL,16174,0.0,0.0
60,Talladega,AL,74107,12.0,1.6192802299377924
61,Tallapoosa,AL,38826,15.0,3.863390511512904
62,Tuscaloosa,AL,150522,23.0,1.5280158382163402
63,Walker,AL,67670,17.0,2.512191517659229
64,Washington,AL,16694,1.0,0.5990176111177669
65,Wilcox,AL,13568,3.0,2.2110849056603774
66,Winston,AL,22053,5.0,2.2672652246859837
67,Apache,AZ,61591,2.0,0.3247227679368739
68,Cochise,AZ,97624,15.0,1.536507416209129
69,Coconino,AZ,96591,6.0,0.6211758859521073
70,Gila,AZ,40216,9.0,2.237915257608912
71,Graham,AZ,26554,13.0,4.8956842660239515
72,Greenlee,AZ,8008,2.0,2.4975024975024973
73,La paz,AZ,13844,0.0,0.0
74,Maricopa,AZ,2122101,373.0,1.7576920231412168
75,Mohave,AZ,93497,30.0,3.2086591013615413
76,Navajo,AZ,77658,10.0,1.2876973396172964
77,Pima,AZ,666880,150.0,2.2492802303262955
78,Pinal,AZ,116379,21.0,1.804449256309128
79,Santa cruz,AZ,29676,0.0,0.0
80,Yavapai,AZ,107714,35.0,3.249345488980077
81,Yuma,AZ,106895,21.0,1.964544646615838
82,Arkansas,AR,21653,4.0,1.8473190781877802
83,Ashley,AR,24319,4.0,1.644804473868169
84,Baxter,AR,31186,9.0,2.885910344385301
85,Benton,AR,97499,20.0,2.0513030902881053
86,Boone,AR,28297,10.0,3.533943527582429
87,Bradley,AR,11793,0.0,0.0
88,Calhoun,AR,5826,2.0,3.4328870580157917
89,Carroll,AR,18654,4.0,2.144312211858047
90,Chicot,AR,15713,1.0,0.6364157067396423
91,Clark,AR,21437,3.0,1.399449549843728
92,Clay,AR,18107,10.0,5.5227260175622686
93,Cleburne,AR,19411,7.0,3.6062026685899746
94,Cleveland,AR,7781,1.0,1.2851818532322326
95,Columbia,AR,25691,8.0,3.1139309485812157
96,Conway,AR,19151,4.0,2.0886637773484416
97,Craighead,AR,68956,15.0,2.175300191426417
98,Crawford,AR,42493,12.0,2.823994540277222
99,Crittenden,AR,49939,1.0,0.20024429804361324
100,Cross,AR,19225,3.0,1.5604681404421326
101,Dallas,AR,9614,0.0,0.0
102,Desha,AR,16798,1.0,0.5953089653530182
103,Drew,AR,17369,4.0,2.302953537912373
104,Faulkner,AR,60006,10.0,1.6665000166650004
105,Franklin,AR,14897,3.0,2.0138282875746794
106,Fulton,AR,10037,4.0,3.985254558134901
107,Garland,AR,73397,28.0,3.8148698175674753
108,Grant,AR,13948,2.0,1.4338973329509608
109,Greene,AR,31804,9.0,2.82983272544334
110,Hempstead,AR,21621,4.0,1.8500531890291847
